ticker;name;Annualized return 20Y;Sharpe 20Y;score;weight
MA US Equity;Mastercard Inc;3.1757863136251614;2.912399862132317;3.044093087878739;0.0761602341026666
TSLA US Equity;Tesla Inc;4.092420912471162;1.4328436305767316;2.762632271523947;0.06911835954578625
CMG US Equity;Chipotle Mexican Grill Inc;3.0796329233161397;1.6306331527106037;2.3551330380133715;0.05892312696751797
RMS FP Equity;Hermes International;2.0428340111708976;2.5405785556512614;2.2917062834110795;0.05733625155358339
NOVOB DC Equity;Novo Nordisk A/S;2.0066076728608504;2.5374480979313643;2.272027885396107;0.0568439172667137
CRM US Equity;Salesforce Inc;2.626622788349185;1.6026949682678628;2.114658878308524;0.05290669850424596
PGHN SE Equity;Partners Group Holding AG;1.8491144620785185;2.1944535018581917;2.021783981968355;0.05058305936334925
REGN US Equity;Regeneron Pharmaceuticals Inc;2.600846333173855;1.2842910749941847;1.9425687040840198;0.04860117052683444
V US Equity;Visa Inc;1.8467229275384431;1.9949771420333084;1.9208500347858757;0.04805779064639271
WSP CN Equity;WSP Global Inc;1.7544240894613;2.034360178900174;1.894392134180737;0.04739583983024451
AHT LN Equity;Ashtead Group PLC;2.4086339154217984;1.3139472851311171;1.8612906002764578;0.046567671801695805
ASML NA Equity;ASML Holding NV;2.014906163310095;1.7004332664585124;1.8576697148843038;0.04647708078783245
LII US Equity;Lennox International Inc;1.852507058843964;1.8331489435160788;1.8428280011800213;0.04610575561558202
ASM NA Equity;ASM International NV;2.2053465011225284;1.3913246678580018;1.798335584490265;0.04499259883191529
INTU US Equity;Intuit Inc;1.700722884912553;1.796928323179966;1.7488256040462595;0.04375390750672277
WST US Equity;West Pharmaceutical Services I;1.662493203780006;1.7949072772588803;1.7287002405194432;0.04325039057956083
SNPS US Equity;Synopsys Inc;1.4873020192642927;1.8113289489009703;1.6493154840826314;0.041264261555292434
TSCO US Equity;Tractor Supply Co;1.7449216453767233;1.5494879256758645;1.647204785526294;0.04121145394017353
FI US Equity;Fiserv Inc;1.3031586732361615;1.9135335276442893;1.6083461004402255;0.040239247615452015
MTD US Equity;Mettler-Toledo International I;1.4490518552372984;1.7653969201235398;1.607224387680419;0.04021118345843823
